Title,Time,Artist,Album,Genre,Plays
Astronomy,4:04,Conan Gray,Astronomy - Single,Pop,1
At My Worst,2:50,Pink Sweat$,The Prelude - EP,R&B/Soul,33
Attention,3:29,Charlie Puth,Voicenotes,Pop,14
Aye Khuda,6:50,"Kshitij Tarey, Saim Bhat & Mithoon",Murder 2 (Original Motion Picture Soundtrack),Bollywood,17
Azadi,2:35,Dub Sharma & DIVINE,Gully Boy (Original Motion Picture Soundtrack),Bollywood,1
B-A-B-Y,2:57,Carla Thomas,This Is Soul,Jazz,
Baaki Baatein Peene Baad (Shots) [feat. Badshah],3:40,Arjun Kanungo,Baaki Baatein Peene Baad (Shots) [feat. Badshah] - Single,Indian Pop,
Baari,3:55,Bilal Saeed & Momina Mustehsan,Baari - Single,Punjabi Pop,
Baarish,4:36,Ash King & Shashaa Tirupati,Half Girlfriend (Original Motion Picture Soundtrack),Bollywood,14
"Baarish (from ""Yaariyan"")",6:15,Mohammed Irfan & Gajendra Verma,Bollywood Monsoon Special,Bollywood,35
Baarishein,3:27,Anuv Jain,Baarishein - Single,Singer/Songwriter,122
Baat Bangayi,3:30,Rawal & Bharg,Sab Chahiye,Hip-Hop/Rap,14
"Baatein Ye Kabhi Na (From ""Khamoshiyan"") [Male]",4:49,Arijit Singh & Jeet Gannguli,Your's Truly Arijit,Bollywood,8
Baatein Ye Kabhi Na (Male Version),4:49,Jeet Gannguli & Arijit Singh,Khamoshiyan (Original Motion Picture Soundtrack),Bollywood,8
Baazi,3:29,King,Baazi - Single,Indian Pop,5
Baba Bolta Hain Bas Ho Gaya,4:45,"Papon, Ranbir Kapoor & Supriya Pathak",Sanju (Original Motion Picture Soundtrack) - EP,Bollywood,11
Baba Yaga,2:41,Karma,Baba Yaga - Single,Hip-Hop/Rap,
Baby Doll,3:34,Kanika Kapoor & Meet Bros Anjjan,Ragini Mms 2 (Original Motion Picture Soundtrack),Bollywood,2
Baby Driver,3:16,Simon & Garfunkel,Baby Driver (Music from the Motion Picture),Pop,
"Baby Driver: Vol. 2, The Score for a Score (Original Score)",2:27,Boga,"Baby Driver: Vol. 2, The Score for a Score (Original Score) - Single",Soundtrack,
Baby Ko Bass Pasand Hai,4:13,"Vishal & Shekhar, Vishal Dadlani, Shalmali Kholgade, Isheeta & Badshah",Sultan (Original Motion Picture Soundtrack),Bollywood,
Baby Let Me Take You (In My Arms),3:53,The Detroit Emeralds,"You Want It, You Got It",R&B/Soul,1
Baby Marvake Maanegi,3:08,Raftaar,Zero to Infinity,Indian Pop,26
...Baby One More Time,3:31,Britney Spears,...Baby One More Time (Deluxe Version),Pop,2
"Baby, I'm Yours",2:29,Barbara Lewis,Her Very Best - Single,R&B/Soul,1
Bachna Ae Haseeno,3:31,"Vishal & Shekhar, Kishore Kumar, Sumeet Kumar & Vishal Dadlani",Bachna Ae Haseeno (Original Soundtrack),Bollywood,
Bachpan Ka Pyaar,3:03,"Badshah, Aastha Gill, Sahdev Dirdo & Rico",Bachpan Ka Pyaar - Single,Indian Pop,
Backbone,2:55,Harrdy Sandhu,Backbone - Single,Indian Pop,51
Bad,4:07,Michael Jackson,Bad,Pop,
Bad,3:06,Sidhu Moose Wala,Bad - Single,Indian Pop,
bad guy,3:14,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Alternative,25
Badass Babuaa,2:48,"Abhishek Nailwal, Neha Bhasin & Sameer Uddin",Bareilly Ki Barfi (Original Motion Picture Soundtrack),Bollywood,1
Badnam,1:59,Mankirt Aulakh,Badnam - Single,Indian Pop,12
Badnam (feat. DJ Flow),3:24,Mankirt Aulakh,Badnam - Single (feat. DJ Flow) - Single,Indian Pop,46
Badri Ki Dulhania (Title Track),3:27,"Dev Negi, Neha Kakkar, Monali Thakur & Ikka",Badrinath Ki Dulhania (Original Motion Picture Soundtrack),Bollywood,1
Bahana,3:35,Akull,Bahana - Single,Indian Pop,1
Bahon Ke Darmiyan (The Unwind Mix),5:13,Raman Mahadevan & Anwesshaa,Bollywood Unwind 2,Bollywood,1
"Bairaagi (From ""Bareilly Ki Barfi"")",4:12,Arijit Singh & Samira Koppikar,The Arijit Singh Collection,Bollywood,
Bakar Bakar,3:44,Nucleya,Raja Baja - EP,Electronic,1
Balam Pichkari,4:49,"Pritam, Vishal Dadlani & Shalmali Kholgade",Yeh Jawaani Hai Deewani (Original Motion Picture Soundtrack),Bollywood,5
"Balma (From ""Khiladi 786"")",3:48,Shriram & Shreya Ghoshal,Best of Akshay Kumar,Bollywood,4
Bamb Aagya,3:20,"Gur Sidhu, Jasmine Sandlas & Kaptaan",Bamb Aagya - Single,Punjabi Pop,13
Bamb Jatt (feat. Jasmine Sandlas),3:55,Amrit Maan,Bamb Jatt (feat. Jasmine Sandlas) - Single,Indian,
Ban Ja Rani,3:46,Guru Randhawa,Tumhari Sulu (Original Motion Picture Soundtrack),Bollywood,37
"Ban Ja Rani (From ""Tumhari Sulu"")",3:46,Guru Randhawa,Best of Guru Randhawa,Indian Pop,19
"Ban Ja Rani (From ""Tumhari Sulu"")",3:46,Guru Randhawa,Hits of Guru Randhawa,Indian Pop,38
Banana (feat. Shaggy) [DJ Fle - Minisiren Remix],3:30,Conkarah,Banana (feat. Shaggy) [DJ Fle - Minisiren Remix] - Single,Pop,3
